Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PostPartOrder,Edge Chromium 126,,,2024-06-27 02:35:18,2024-06-27 02:37:52,2m - 34.044s,FAILED
,,,,,,,
Test Cases/PostPartOrder/Login to RForce web app,Edge Chromium 126,,,2024-06-27 02:35:19,2024-06-27 02:37:52,2m - 33.371s,FAILED
Start listener action : BeforeTestCase,Edge Chromium 126,,,2024-06-27 02:35:19,2024-06-27 02:35:29,9.837s,PASSED
"loginPage.loginPage.login(Username, Password)",Edge Chromium 126,,,2024-06-27 02:35:30,2024-06-27 02:35:47,17.446s,PASSED
purchaseOrder.PurchaseOrder.PurchaseorderHeader(),Edge Chromium 126,,,2024-06-27 02:35:47,2024-06-27 02:35:54,6.242s,PASSED
purchaseOrder.PurchaseOrder.NewCostPO(),Edge Chromium 126,,,2024-06-27 02:35:54,2024-06-27 02:35:59,5.019s,PASSED
purchaseOrder.PurchaseOrder.CreateNewCostPO(),Edge Chromium 126,,,2024-06-27 02:35:59,2024-06-27 02:36:14,15.268s,PASSED
addPartDetails.ConfigurePartID.AddParts(),Edge Chromium 126,,,2024-06-27 02:36:14,2024-06-27 02:36:49,35.575s,PASSED
addPartDetails.ConfigurePartID.EnetrPartDetails(),Edge Chromium 126,,,2024-06-27 02:36:49,2024-06-27 02:37:51,1m - 1.740s,FAILED
Start listener action : AfterTestCase,Edge Chromium 126,,,2024-06-27 02:37:51,2024-06-27 02:37:52,1.185s,PASSED
